#,Reference,Qty,Value,Footprint,DNP,Notes,,,,,,,
1,"C1, C3, C5",3,100u,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,,,,,,,,,
2,"C2, C6",2,1000u,Capacitor_THT:CP_Radial_D12.5mm_P7.50mm,,,,,,,,,
3,C4,1,2200u,Capacitor_THT:CP_Radial_D16.0mm_P7.50mm,,,,,,,,,
4,"D1, D2, D3",3,1N5822,Diode_THT:D_A-405_P7.62mm_Horizontal,,Package listed does not match footprint. Please use the readily available DO-201AD ,,,,,,,
5,D4,1,Y_LED,LED_THT:LED_D3.0mm,,,,,,,,,
6,D5,1,R_LED,LED_THT:LED_D3.0mm,,,,,,,,,
7,D6,1,G_LED,LED_THT:LED_D3.0mm,,,,,,,,,
8,"H1, H2, H3, H4",4,MountingHole,MountingHole:MountingHole_3.2mm_M3,,,,,,,,,
9,"J2, J3, J4",3,Conn_02x08_Odd_Even,Connector_IDC:IDC-Header_2x08_P2.54mm_Vertical,,,,,,,,,
10,J5,1,Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,,,,,,,,
11,"L1, L2, L3",3,150m,Inductor_THT:L_Axial_L16.0mm_D7.5mm_P7.62mm_Vertical_Fastron_XHBCC,,,,,,,,,
12,"R1, R2, R3",3,300,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,,,,,,
13,"U1, U2",2,LM2576T-12,Package_TO_SOT_THT:TO-220-5_Vertical,,,,,,,,,
14,U3,1,LM2576T-5,Package_TO_SOT_THT:TO-220-5_Vertical,,,,,,,,,
