"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","100n","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm",""
"2","C3, C4","2","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"3","C5, C7","2","1n","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm",""
"4","C6, C8","2","470n","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm",""
"5","D1, D2","2","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"6","J1","1","power","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical",""
"7","J2","1","Env1","3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_TN",""
"8","J3","1","CV1","3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_TN",""
"9","J4","1","Input1","3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_TN",""
"10","J5","1","Output1","3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_TN",""
"11","J6","1","Env2","3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_TN",""
"12","J7","1","CV2","3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_TN",""
"13","J8","1","Input2","3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_TN",""
"14","J9","1","Output2","3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_TN",""
"15","Q1, Q2","2","2N3906","Package_TO_SOT_THT:TO-92_Inline",""
"16","R1, R13","2","120K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"17","R2, R3, R4, R14, R17, R18","6","330K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"18","R5, R15","2","33K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"19","R6, R12, R16, R22","4","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"20","R7, R20","2","6K8","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"21","R8, R9, R23, R24","4","620R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"22","R10, R21","2","100K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"23","R11, R19","2","18K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"24","RV1","1","Gain1","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",""
"25","RV2","1","CVGain1","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",""
"26","RV3","1","Gain2","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",""
"27","RV4","1","CVGain2","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",""
"28","U1","1","LM13700","Package_DIP:DIP-16_W7.62mm",""
"29","U2","1","TL074","Package_DIP:DIP-14_W7.62mm",""
