#,Reference,Qty,Value,Footprint,DNP
1,"Att1, Decay1, Rel1",3,1M,Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,
2,C1,1,10u,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,
3,"C2, C4",2,100n,Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm,
4,"C3, C5",2,10n,Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm,
5,C6,1,4.7u,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,
6,"D1, D3, D4, D5, D6",5,1N4148,feitw_adsr:D_DO-35_SOD27_P7.62mm_Horizontal,
7,D2,1,LED,LED_THT:LED_D3.0mm,
8,J1,1,power,Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical,
9,J2,1,In,3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,
10,J3,1,Out,3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,
11,Out1,1,TestPoint,TestPoint:TestPoint_Pad_D1.5mm,
12,"Q1, Q2, Q3",3,BC847,Package_TO_SOT_SMD:SOT-23,
13,"R1, R7",2,10k,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
14,R2,1,3k3,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
15,"R3, R6, R8, R10",4,4k7,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
16,R4,1,22k,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
17,R5,1,1M,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
18,"R9, R11, R12",3,120R,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
19,R13,1,1k,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
20,Sus1,1,10K,Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,
21,U1,1,NE555P,Package_DIP:DIP-8_W7.62mm,
22,U2,1,LM358,Package_DIP:DIP-8_W7.62mm,
