"#","Reference","Qty","Value","Footprint","DNP"
"1","Blend1, CV2, Drive1, Peak1","4","100k","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",""
"2","C1, C2","2","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"3","C3, C4, C5, C6","4","100n","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm",""
"4","C7","1","4.7n","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"5","C8, C9","2","1n","Capacitor_THT:C_Rect_L4.6mm_W3.8mm_P2.50mm_MKS02_FKP02",""
"6","C10","1","470n","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"7","D3, D4","2","LED","LED_THT:LED_D3.0mm",""
"8","Freq1","1","10k","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",""
"9","J1","1","power","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical",""
"10","J2","1","In","3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"11","J3","1","V_Oct","3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"12","J4","1","CV1","3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"13","J5","1","Out","3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"14","Q1, Q2","2","BC557","Package_TO_SOT_THT:TO-92_Inline",""
"15","R1, R2, R7, R8, R9, R10","6","100k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"16","R3","1","220k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"17","R4","1","1.5k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"18","R5","1","470k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"19","R6, R11, R23","3","4.7k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"20","R12, R13, R17, R18","4","220R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"21","R14, R15, R16, R19, R20, R22","6","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"22","R21","1","1k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"23","R24","1","47k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"24","RV1","1","1k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
"25","U1, U2","2","TL072","Package_DIP:DIP-8_W7.62mm",""
"26","U3","1","LM13700","Package_DIP:DIP-16_W7.62mm",""
"27","U4","1","NE5532","Package_DIP:DIP-8_W7.62mm",""
